provider_name,website_url,domain,directory_source,directory_detail_url,source_url,address,phone,email,confidence,notes
KBC Haaglanden,http://www.kbchaaglanden.nl,kbchaaglanden.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-kbc-haaglanden-den-haag-3049099,http://kbchaaglanden.nl,"Haverkamp 210, 2592 BM Den Haag",+31703265250,info@kbchaaglanden.nl,1.00,
"Vrederust, fysio- en manuele therapie en kinderfysiotherapie, locatie Vrederustlaan",http://www.fysiovrederust.nl,fysiovrederust.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-vrederust-fysio-en-manuele-therapie-en-kinderfysiotherapie-locatie-vrederustlaan-den-haag-3053390,http://fysiovrederust.nl,"Vrederustlaan 147, 2543 SN Den Haag",,info@fysiovrederust.nl,0.70,No central phone number detected.
Apeldoornselaan Fysiotherapie,http://www.fysiodenhaag.nl,fysiodenhaag.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-apeldoornselaan-fysiotherapie-den-haag-193384,https://fysiodenhaag.nl/contact/,Apeldoornselaan 89 2573 LD DEN HAAG,0703462837,info@fysiodenhaag.nl,1.00,
ARA Wond en Zorg,https://www.arawondenzorg.nl/,arawondenzorg.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/wijkverpleging-ara-wond-en-zorg-den-haag-10017432,https://arawondenzorg.nl,,+31702303030,info@arawondenzorg.nl,0.60,No postal address detected.
Fysiothese Aaltje Noordewierstraat,http://www.fysiotherapieaaltjenoordewierstraat.nl,fysiotherapieaaltjenoordewierstraat.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysiothese-aaltje-noordewierstraat-den-haag-193590,http://fysiotherapieaaltjenoordewierstraat.nl,,0703910681,,0.30,No postal address detected. | No central email address detected.
Tandartspraktijk Waldent,http://waldent.nl/,waldent.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-tandartspraktijk-waldent-den-haag-10002884,http://waldent.nl,2594 AJ,+31703857630,tandartspraktijk@waldent.nl,1.00,
ADHDCentraal Den Haag,http://www.adhdcentraal.nl,adhdcentraal.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/ggz-adhdcentraal-den-haag-den-haag-10008285,http://adhdcentraal.nl,,+31883131200,info@adhdcentraal.nl,0.60,No postal address detected.
Fysiotherapie Lokman,https://fysiotherapielokman.nl/,fysiotherapielokman.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysiotherapie-lokman-den-haag-10023738,https://fysiotherapielokman.nl/contact/,Fysiotherapie Lokman Melis Stokelaan 2496 W 2541GS ‘s-Gravenhage,,info@fysiotherapielokman.nl,0.70,No central phone number detected.
Actief & Gezond Fysiotherapie,https://www.actiefengezondfysio.nl/,actiefengezondfysio.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-actief-gezond-fysiotherapie-den-haag-10012852,https://actiefengezondfysio.nl,J. Presserstraat 240 2552 LP Den Haag ROUTE,0703976182,,0.70,No central email address detected.
Huidtherapie Cutaan,https://www.huidtherapiecutaan.nl/,huidtherapiecutaan.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/huidtherapiepraktijk-huidtherapie-cutaan-den-haag-10004435,https://huidtherapiecutaan.nl,"Loosduinsekade 298, 2571CC Den Haag",+310619979367,info@huidtherapiecutaan.nl,1.00,
Puur psychologen,https://puurpsychologen.nl,puurpsychologen.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/psychologiepraktijk-en-psychotherapiepraktijk-puur-psychologen-den-haag-10088529,https://www.puurpsychologen.nl/locaties/,"Adres: Rustenburgertuin 8, 2342 CX te Oegstgeest E-mailadres: info@puurpsychologen.nl Openings",,info@puurpsychologen.nl,0.70,No central phone number detected.
Haag-Zorg,https://www.haag-zorg.nl/,haag-zorg.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/wijkverpleging-haag-zorg-den-haag-10020400,https://haag-zorg.nl,"Bouwlustlaan 41, 2544 JN Den Haag",0702210130,info@haag-zorg.nl,1.00,
Medisch Centrum Loudon Fysiotherapie,https://mcloudon.com/,mcloudon.com,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-medisch-centrum-loudon-fysiotherapie-den-haag-193018,https://mcloudon.com,Loudonstraat 118 b 2593 WB Den Haag,+31703477869,info@mcloudon.com,1.00,
Voeding & Leefstijl Remijnse,http://www.mariette-remijnse.nl,mariette-remijnse.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/dietistenpraktijk-voeding-leefstijl-remijnse-den-haag-3036678,https://mariette-remijnse.nl/contact/,President Kennedylaan 15 2517JK Den Haag,0703225020,,0.70,No central email address detected.
"Trubendorffer, locatie Den Haag",https://www.trubendorffer.nl,trubendorffer.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/verslavingszorg-trubendorffer-locatie-den-haag-den-haag-3057963,https://www.trubendorffer.nl/over-ons/voor-wie-is-de-trubendorffer-behandeling/,,0855800058,intake@trubendorffer.nl,0.60,No postal address detected.
Praktijk voor fysio- en manuele therapie Transvaal,http://www.fysiotherapietransvaal.nl,fysiotherapietransvaal.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-praktijk-voor-fysio-en-manuele-therapie-transvaal-den-haag-3030764,http://fysiotherapietransvaal.nl,17:30 uur Vr: 8:30 - 17:30 uur Contact Steijnlaan 186 - 188 2571 SB Den Haag 070 - 3 12 15 63 W. www.fysiotherapietransvaal.nl,0703121563,info@fysiotherapietransvaal.nl,1.00,
Fysio Effect Den Haag Dr. Lelykade,https://fysioeffect.nl/,fysioeffect.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysio-effect-den-haag-dr-lelykade-den-haag-10083103,https://fysioeffect.nl/zorginstelling/fysiotherapiepraktijk-fysioeffect-locatie-den-haag-den-haag-3055514,Adres Bezuidenhoutseweg 61 2594 AC Den Haag,0708080139,info@fysioeffect.nl,1.00,
Stottercentrum Den Haag,https://www.stottercentrumdenhaag.nl,stottercentrumdenhaag.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/logopediepraktijk-stottercentrum-den-haag-den-haag-193688,https://www.stottercentrumdenhaag.nl/contact/,Locatie Wateringse Veld Laan van Wateringseveld 745 2548 BP Den Haag,,,0.40,No central phone number detected. | No central email address detected.
Mondzorg Scheveningen,https://www.mondzorgscheveningen.com/,mondzorgscheveningen.com,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-mondzorg-scheveningen-den-haag-10013707,,,,,0.00,No HTML pages were fetched.
Tandartspraktijk De Weidevogel,http://www.tandartsdeweidevogel.nl,tandartsdeweidevogel.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-tandartspraktijk-de-weidevogel-den-haag-3042694,,,,,0.00,No HTML pages were fetched.
Dental Clinics Den Haag - Laan van Meerdervoort,http://www.dentalclinics.nl,dentalclinics.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-dental-clinics-den-haag-laan-van-meerdervoort-den-haag-3040988,,,,,0.00,No HTML pages were fetched.
Fysiotherapie de Dreef,www.fysiotherapiededreef.nl,fysiotherapiededreef.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysiotherapie-de-dreef-den-haag-193436,https://fysiotherapiededreef.nl,2542 NK Den Haag,0703210910,,0.70,No central email address detected.
Voedingspraktijk Guclu,https://www.dietistenpraktijkguclu.nl/,dietistenpraktijkguclu.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/dietistenpraktijk-voedingspraktijk-guclu-den-haag-10013784,https://dietistenpraktijkguclu.nl/index.php?page_name=contact,"la Reyweg 170, 2571 GH Den Haag Locatie",,,0.40,No central phone number detected. | No central email address detected.
Logopedie en Stotterpraktijk Zeeheldenkwartier,http://www.logopedie-zeehelden.nl,logopedie-zeehelden.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/logopediepraktijk-logopedie-en-stotterpraktijk-zeeheldenkwartier-den-haag-3043582,http://logopedie-zeehelden.nl,Zeeheldenkwartier Tasmanstraat 182 2518 VT Den Haag tel,0703924949,vacature@logopedie-zeehelden.nl,1.00,
Fysiotherapie Nagtzaam,https://fysiotherapienagtzaam.nl/,fysiotherapienagtzaam.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysiotherapie-nagtzaam-den-haag-10082855,https://fysiotherapienagtzaam.nl,"Droogleever Fortuynweg 99, 2533 SP, Den Haag",0851308577,,0.70,No central email address detected.
Splinter GGZ,https://splinter.care,splinter.care,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/ggz-splinter-ggz-den-haag-10088643,https://splinter.care,Scheveningseweg 72 2517 KX Den Haag,0850657349,welkom@splinter.care,1.00,
Fysiotherapie De Wissel,https://www.fysiotherapiedewissel.nl,fysiotherapiedewissel.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysiotherapie-de-wissel-den-haag-193458,https://fysiotherapiedewissel.nl,2524 XT Den Haag,,,0.40,No central phone number detected. | No central email address detected.
"Fysiotherapie H.L. ter Hoeven, locatie Den Haag",http://fysio-terhoeven.nl,fysio-terhoeven.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysiotherapie-h-l-ter-hoeven-locatie-den-haag-den-haag-3052750,http://fysio-terhoeven.nl,Zonnebloemstraat 383 2565RW Den Haag,,,0.40,No central phone number detected. | No central email address detected.
Tandartsgroepspraktijk Jonker,http://www.psjonker.nl,psjonker.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-tandartsgroepspraktijk-jonker-den-haag-181671,http://psjonker.nl/contact/,Laan van Meerdervoort 1575 2555 BR Den Haag 070 4480544 info@psjonker.nl,0704480544,info@psjonker.nl,1.00,
Mijn Fysio en Adviespunt,https://www.mijnfysioenadvies.nl,mijnfysioenadvies.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-mijn-fysio-en-adviespunt-den-haag-193450,https://mijnfysioenadvies.nl/nl/contactformulier,Rhijnvis Feithlaan 12 2533 GE Den Haag Telefoon,0703800432,info@mijnfysioenadvies.nl,1.00,
Tandartsenpraktijk Leidschenhof,http://www.leidschenhof.nl,leidschenhof.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-tandartsenpraktijk-leidschenhof-den-haag-3036853,,,,,0.00,No HTML pages were fetched.
RS Thuiszorg,https://www.rsthuiszorg.nl/,rsthuiszorg.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/wijkverpleging-rs-thuiszorg-den-haag-10017365,,,,,0.00,No HTML pages were fetched.
HSK Den Haag Bordewijklaan,https://www.hsk.nl,hsk.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/ggz-hsk-den-haag-bordewijklaan-den-haag-10010676,https://www.hsk.nl/contact/,1813 KN Alkmaar,0881155845,info@hsk.nl,1.00,
"Parnassia, locatie IBT Haaglanden, team 1",http://www.parnassia.nl,parnassia.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/ggz-parnassia-locatie-ibt-haaglanden-team-1-den-haag-3061944,https://parnassia.nl/locaties,,0883580100,secretariaatspecialistischouderen@parnassia.nl,0.60,No postal address detected.
HappyZorg,https://happyzorg.nl/,happyzorg.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/wijkverpleging-happyzorg-den-haag-3059469,https://happyzorg.nl/contact/klacht-indienen,Prinses Margrietplantsoen 50 2595 BR Den Haag,0702622221,,0.70,No central email address detected.
Residentaal Tandartsen,http://www.residentaal.nl,residentaal.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-residentaal-tandartsen-den-haag-3059733,http://residentaal.nl,Wassenaarseweg 18 2596 CH Den Haag,0704061832,info@residentaal.nl,1.00,
"Bey by Bergman Clinics, locatie Den Haag",https://www.beyclinics.nl,beyclinics.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/esthetisch-medisch-centrum-bey-by-bergman-clinics-locatie-den-haag-den-haag-3058017,https://beyclinics.nl/locaties/,Bey Capelle a/d Ijssel Lylantse Baan 11 2908 LG Capelle aan den IJssel Op deze pagina vind u alle belangrij,0889000535,,0.70,No central email address detected.
TIM Den Haag Loosduinen,https://timfysiotherapie.nl/,timfysiotherapie.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-tim-den-haag-loosduinen-den-haag-10004213,https://timfysiotherapie.nl/locaties/,"Vredenburchweg 26F, 2282 SH Rijswijk Schaapweg",0850406038,,0.70,No central email address detected.
Eisenhower Kliniek Den Haag,https://www.eisenhowerkliniek.nl,eisenhowerkliniek.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/centrum-voor-orthopedie-en-beweging-eisenhower-kliniek-den-haag-den-haag-3060370,https://www.eisenhowerkliniek.nl/contact/,Eisenhowerlaan 77f 2517 KK Den Haag Nederland Tel,0857736637,info@eisenhowerkliniek.nl,1.00,
"Xpert Clinics, locatie Den Haag",https://www.xpertclinics.nl,xpertclinics.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/overige-kliniek-xpert-clinics-locatie-den-haag-den-haag-3060983,https://xpertclinics.nl/contact-1,,0887785210,info@xpertclinics.nl,0.60,No postal address detected.
iPractice Den Haag,https://www.ipractice.nl,ipractice.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/psychologiepraktijk-en-psychotherapiepraktijk-ipractice-den-haag-den-haag-10017868,https://ipractice.nl/locaties/alkmaar/,"op Paardenmarkt 1, 1811 KH Alkmaar . De locatie is goed bereikbaar met het openbaar vervoer en er is in de omgeving parkeergelegenheid. Je bent hier welkom voor gesprekken in de spreekkamer als onderdeel van je blended behandeltraject.",0207717996,,0.70,No central email address detected.
"Jeugdtandzorg West, locatie De Dreef",http://www.jeugdtandzorgwest.nl,jeugdtandzorgwest.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-jeugdtandzorg-west-locatie-de-dreef-den-haag-3041057,http://jeugdtandzorgwest.nl,Rijswijkseplein 56 2516 GX Den Haag info,,calandstraat@jeugdtandzorgwest.nl,0.70,No central phone number detected.
Thuiszorg de Oude Haag,https://thuiszorgdeoudehaag.nl/,thuiszorgdeoudehaag.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/wijkverpleging-thuiszorg-de-oude-haag-den-haag-3060704,https://thuiszorgdeoudehaag.nl,"Volendamlaan 1266, 2547 CZ Den Haag",0703316837,info@thuiszorgdeoudehaag.nl,1.00,
MKA Klinieken Nederland,https://www.mkaklinieken.nl/,mkaklinieken.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/overige-kliniek-mka-klinieken-nederland-den-haag-10005808,https://mkaklinieken.nl/contact-kaakchirurg-mka/,"Laan van Waalhaven 440, 2497 GR Den Haag",0886525510,,0.70,No central email address detected.
DC Klinieken Den Haag,https://www.dcklinieken.nl/vestigingen/dc-klinieken-den-haag/,dcklinieken.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/overige-kliniek-dc-klinieken-den-haag-den-haag-3020087,https://www.dcklinieken.nl/contact/vestigingen/,1821 BS Alkmaar,+31880100900,alkmaar@dcklinieken.nl,1.00,
Hospice de Witte Roos,https://hospicedewitteroos.nl/,hospicedewitteroos.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/hospice-hospice-de-witte-roos-den-haag-10008805,https://hospicedewitteroos.nl,Harriët Freezerhof 183 2492 JB Den Haag,0702040047,info@hospicedewitteroos.nl,1.00,
24 uurs Wijkzorg,https://www.24uurswijkzorg.nl/,24uurswijkzorg.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/wijkverpleging-24-uurs-wijkzorg-den-haag-10019621,https://24uurswijkzorg.nl/contact/,"Beresteinlaan 126a, 2542 KD Den Haag",0707709009,info@24uurswijkzorg.nl,1.00,
"Saffier, Verpleeghuis De Drie Linden",http://www.saffiergroep.nl/,saffiergroep.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-saffier-verpleeghuis-de-drie-linden-den-haag-10017009,http://saffiergroep.nl/locaties,Rusthoekstraat 38 2584 CV Den Haag,08007233437,contact@saffiergroep.nl,1.00,
Service Apotheek Zuiderpark,https://www.serviceapotheek.nl/zuiderpark,serviceapotheek.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/apotheek-service-apotheek-zuiderpark-den-haag-170875,https://serviceapotheek.nl/contact-met-de-helpdesk,,0857430380,klantenservice@serviceapotheek.nl,0.60,No postal address detected.
Slaapapneu Service,https://www.slaapapneuservice.nl,slaapapneuservice.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/overige-kliniek-slaapapneu-service-den-haag-10020165,https://slaapapneuservice.nl,"Forelvijver 1A, 2492 MS Den Haag",+31702211162,secretariaat@slaapapneuservice.nl,1.00,
Stichting Thuiszorg Nescare,http://www.nescare.nl,nescare.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/wijkverpleging-stichting-thuiszorg-nescare-den-haag-10007392,http://nescare.nl,Nescare Platinaweg 10 2544 EZ Den Haag,0702002360,,0.70,No central email address detected.
WZH Paramedie,http://www.wzh.nl,wzh.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-wzh-paramedie-den-haag-10027402,http://wzh.nl/wzh/dit-zijn-wij/contactformulier,Stafbureau Polanenhof 497 2548 MP Den Haag Telefoon,0707561600,klantbemiddelingcentraal@wzh.nl,1.00,
BabZ Thuiszorg,http://www.babzorg.nl,babzorg.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/wijkverpleging-babz-thuiszorg-den-haag-3059919,http://babzorg.nl,"Thomsonlaan 129, 2565 JA Den Haag",0702390105,info@babzorg.nl,1.00,
Jeugdpraktijk Groos,https://www.jeugdpraktijkgroos.nl,jeugdpraktijkgroos.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/ggz-jeugdpraktijk-groos-den-haag-10018677,https://jeugdpraktijkgroos.nl,Frits Diepenlaan 57 2497 DN Den Haag Tel,+31850799721,info@jeugdpraktijkgroos.nl,1.00,
HagaZiekenhuis,https://www.hagaziekenhuis.nl,hagaziekenhuis.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/ziekenhuis-hagaziekenhuis-den-haag-251812,https://hagaziekenhuis.nl/locaties/denhaag,Els Borst-Eilersplein 275 2545 AA Den Haag,0702100000,,0.70,No central email address detected.
Alpha Service Apotheek,http://www.alpha-apotheek.nl,alpha-apotheek.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/apotheek-alpha-service-apotheek-den-haag-171313,,,,,0.00,No HTML pages were fetched.
Indigo in Den Haag e.o.,http://www.indigowest.nl,indigowest.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/ggz-indigo-in-den-haag-e-o-den-haag-3054253,http://indigowest.nl/praktische-informatie/contact,,0883571357,,0.30,No postal address detected. | No central email address detected.
Cella zorg aan huis,http://www.cellazorgaanhuis.nl/,cellazorgaanhuis.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/wijkverpleging-cella-zorg-aan-huis-den-haag-10014431,http://cellazorgaanhuis.nl,van Wehlstraat 201 2548 MN Den Haag Netherlands,+3120020703310441,administratie@cellazorgaanhuis.nl,1.00,
Castle Craig Den Haag,https://www.castlecraig.nl,castlecraig.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/verslavingszorg-castle-craig-den-haag-den-haag-3045366,https://www.castlecraig.nl/contact,,+31887707077,aanmelding@castlecraig.nl,0.60,No postal address detected.
Hart in 't Zorgveld,https://www.hartinhetzorgveld.nl/,hartinhetzorgveld.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/wijkverpleging-hart-in-t-zorgveld-den-haag-10017061,,,,,0.00,No HTML pages were fetched.
"Max Ernst GGZ, locatie Den Haag",https://www.max-ernst.nl,max-ernst.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/ggz-max-ernst-ggz-locatie-den-haag-den-haag-3046690,https://max-ernst.nl/over-max-ernst-ggz/contact/,Max Ernst GGZ Postbus 2051 6802 CB Arnhem,0882701220,info@max-ernst.nl,1.00,
"Florence, Woonzorgcentrum Duinhage",http://www.florence.nl,florence.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-florence-woonzorgcentrum-duinhage-den-haag-13069,http://florence.nl,"Postbus 1005, 2280 CA in Rijswijk",0704131000,info@florence.nl,1.00,
SmileDesigner,https://orthodontist-denhaag.nl/,orthodontist-denhaag.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/orthodontiepraktijk-smiledesigner-den-haag-10012727,https://orthodontist-denhaag.nl,Groot Hertoginnelaan 7 2517 EA Den Haag,0702001700,,0.70,No central email address detected.
Buurtzorg Den Haag Loosduinen,http://www.buurtzorgnederland.com,buurtzorgnederland.com,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/wijkverpleging-buurtzorg-den-haag-loosduinen-den-haag-3054675,http://buurtzorgnederland.com,,0850403700,info@buurtzorgnederland.com,0.60,No postal address detected.
"Triora, kliniek Den Haag",https://triora.nl/,triora.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/verslavingszorg-triora-kliniek-den-haag-den-haag-10017258,https://triora.nl/contact/vacature,,0883583741,info@triora.nl,0.60,No postal address detected.
"HWW zorg, Wijkverpleging en Thuiszorg",http://www.hwwzorg.nl,hwwzorg.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/wijkverpleging-hww-zorg-wijkverpleging-en-thuiszorg-den-haag-747,http://hwwzorg.nl,Maanweg 174 2516 AB Den Haag,0703795000,info@hwwzorg.nl,1.00,
Mauritskliniek,https://www.mauritskliniek.nl,mauritskliniek.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/dermatologisch-centrum-mauritskliniek-den-haag-3060626,https://mauritskliniek.nl/contact/,,0886287400,info@mauritskliniek.nl,0.60,No postal address detected.
"Respect - wonen, zorg, welzijn Thuiszorg",https://www.respect.nl/,respect.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/wijkverpleging-respect-wonen-zorg-welzijn-thuiszorg-den-haag-3061882,https://respect.nl/contact-en-informatie,Contact Algemeen Respect Postbus 84050 2508 AB Den Haag T: 070 - 306 10 20 info@respectzorg.nl KvK-nummer:,0703061020,,0.70,No central email address detected.
BENU Apotheek Wateringse Veld,http://wateringseveld.benuapotheek.nl,wateringseveld.benuapotheek.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/apotheek-benu-apotheek-wateringse-veld-den-haag-3027417,,,,,0.00,No HTML pages were fetched.
Apotheek van Greuningen,http://www.apotheekvangreuningen.nl,apotheekvangreuningen.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/apotheek-apotheek-van-greuningen-den-haag-169808,http://apotheekvangreuningen.nl,Statenlaan 40 2582GN 's-Gravenhage,0703551343,,0.70,No central email address detected.
